Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs
0.3176461087261992,0.10089905038889635,0.3822155340122636,0.14608871444027982,5,3,1,
0.31750246939749244,0.10080781807350561,0.38202131507091436,0.14594028516851082,5,3,2,
0.31767078618677613,0.10091472839652445,0.3819777707297038,0.14590701733163414,5,3,3,
0.3178954824390646,0.10105753775516566,0.38196866756846903,0.1459000630040316,5,3,4,
0.31814045883544956,0.10121335154803038,0.38197241263118115,0.14590292401128532,5,3,5,
0.31839530300136715,0.1013755689733324,0.3819822576519414,0.14591044516087415,5,3,6,
0.3186559732059154,0.10154162925980907,0.38199548628580016,0.14592055154272493,5,3,7,
0.31892060102684006,0.10171034975932089,0.38201082224099403,0.14593226830924036,5,3,8,
0.3191882135578337,0.10188111567424125,0.3820275992976444,0.14594508662512157,5,3,9,
0.3194582570713742,0.10205357801108021,0.38204544225909576,0.14595871995094806,5,3,10,
0.31973039308975326,0.10222752426532813,0.3820641275505668,0.1459729975609758,5,3,11,
0.3200044017259958,0.10240281712401252,0.3820835161921223,0.14598781334573577,5,3,12,
0.32028013212617545,0.10257936303476041,0.3821035190700806,0.14600309928573946,5,3,13,
0.3205574754165017,0.10275709504540109,0.38212407782610913,0.1460188108544543,5,3,14,
0.32083634915686815,0.1029359629403078,0.38214515380408876,0.14603491857595063,5,3,15,
0.3211166880148486,0.1031159273216256,0.3821667213834493,0.14605140293297497,5,3,16,
0.32139843796364076,0.10329695592546825,0.38218876381084904,0.14606825118326494,5,3,17,
0.32168155255773234,0.10347902125595312,0.38221127051090664,0.14608545530556144,5,3,18,
0.3219659904766925,0.10366209902363763,0.3822342353023608,0.1461030106371805,5,3,19,
0.32225171386676604,0.10384616709006804,0.38225765518497085,0.14612091494751206,5,3,20,
0.32253868719803225,0.1040312047394301,0.3822815294956003,0.14613916779349553,5,3,21,
0.32282687646284125,0.10421719216675455,0.3823058593086504,0.1461577700617256,5,3,22,
0.3231162486051187,0.1044041101126449,0.3823306470015807,0.14617672363664733,5,3,23,
0.3234067711089796,0.1045919395991359,0.38235589593404506,0.14619603115552632,5,3,24,
0.3236984116992992,0.10478066173664899,0.38238161020654643,0.1462156958241512,5,3,25,
0.32399113812231983,0.10497025758179612,0.3824077944756024,0.14623572127569456,5,3,26,
0.3242849179843955,0.10516070803214612,0.38243445380964475,0.14625611146068132,5,3,27,
0.3245797186336172,0.10535199374827808,0.3824615935746673,0.14627687055967398,5,3,28,
0.32487550707353013,0.10554409509628333,0.3824892193418707,0.1462980029127537,5,3,29,
0.32517224990121035,0.10573699210581519,0.3825173368117697,0.14631951296156886,5,3,30,
0.3254699132640835,0.10593066444013002,0.3825459517507611,0.14634140520089564,5,3,31,
0.3257684628313594,0.10612509137550678,0.38257506993724116,0.14636368413748496,5,3,32,
0.3260678637770107,0.10632025178810318,0.3826046971151231,0.1463863542545551,5,3,33,
0.32636808077198504,0.10651612414678895,0.38263483895316835,0.1464094199807171,5,3,34,
0.32666907798389255,0.10671268651084646,0.38266550100894475,0.14643288566242668,5,3,35,
0.3269708190828125,0.10690991653168531,0.3826966886965227,0.1464567555392832,5,3,36,
0.3272732672521654,0.10710779145790725,0.3827284072572413,0.14648103372166474,5,3,37,
0.3275763852038158,0.10730628814319873,0.3827606617330393,0.14650572417031413,5,3,38,
0.327880135196742,0.10750538305663379,0.38279345694196953,0.1465308306775835,5,3,39,
0.32818447905873166,0.10770505229505109,0.3828267974556088,0.14655635685011772,5,3,40,
0.32848937821066226,0.10790527159722751,0.3828606875781467,0.14658230609281123,5,3,41,
0.3287947936929953,0.10810601635961936,0.38289513132698905,0.1466086815939122,5,3,42,
0.3291006861941727,0.10830726165347535,0.38293013241475576,0.14663548631118237,5,3,43,
0.32940701608064615,0.10850898224315506,0.38296569423258037,0.14666272295904226,5,3,44,
0.3297137434283044,0.10871115260550575,0.38300181983464726,0.1466903939966516,5,3,45,
0.33002082805509114,0.10891374695016805,0.3830385119239155,0.14671850161688757,5,3,46,
