Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs
0.306482246070767,0.0939313671565822,0.36735750820744717,0.1349515388363846,5,4,1,
0.3064335187605688,0.09390150141998388,0.3671999336054474,0.13483579123984496,5,4,2,
0.3066798719620802,0.0940525438666779,0.36717554984162915,0.1348178844015027,5,4,3,
0.30697827471606776,0.09423566114765355,0.3671823656684072,0.1348228896578479,5,4,4,
0.3072949247236805,0.09443017076093244,0.3672015143909983,0.13483695217104252,5,4,5,
0.3076200618324381,0.09463010244179305,0.3672271064779781,0.13485574773218828,5,4,6,
0.30794987223404996,0.0948331238089677,0.367256776464084,0.13487753985879017,5,4,7,
0.3082825689331464,0.09503814230802014,0.3672894170577251,0.13490151588260352,5,4,8,
0.30861720035420787,0.09524457635446928,0.3673244534602808,0.134927254109894,5,4,9,
0.30895320663527875,0.09545208389022125,0.3673615643645112,0.13495451897234087,5,4,10,
0.3092902298116424,0.09566044625693855,0.36740056002814214,0.13498317150899247,5,4,11,
0.3096280239138134,0.09586951319277298,0.3674413236387333,0.13501312631738432,5,4,12,
0.3099664089155133,0.09607917465597922,0.3674837809294323,0.135044329246191,5,4,13,
0.31030524562288525,0.09628934546107913,0.36752788345889253,0.13507674511977327,5,4,14,
0.3106444212645149,0.0964999564627654,0.3675735989435058,0.13511035064028123,5,4,15,
0.3109838408616287,0.09671094927705082,0.36762090543053716,0.13514513010956794,5,4,16,
0.311323421868861,0.0969222730041368,0.36766978766024333,0.13518107275812843,5,4,17,
0.31166309073990045,0.0971338821295474,0.36772023472500853,0.1352181710262154,5,4,18,
0.31200278066493214,0.09734573514264977,0.3677722385233922,0.13525641942850689,5,4,19,
0.31234243004259027,0.09755779360491039,0.36782579271603805,0.13529581378718178,5,4,20,
0.31268198142421016,0.09777002150737012,0.3678808920068814,0.13533635070377875,5,4,21,
0.3130213807686524,0.09798238481831364,0.36793753164024234,0.13537802718951433,5,4,22,
0.31336057690542873,0.0981948511585031,0.3679957070442767,0.1354208404030171,5,4,23,
0.3136995211400233,0.09840738956347994,0.3680554135755893,0.1354647874622981,5,4,24,
0.31403816695782855,0.09861997030623301,0.36811664633502483,0.13550986530894576,5,4,25,
0.3143764697974697,0.09883256476231937,0.3681794000343648,0.1355560706096648,5,4,26,
0.31471438687361,0.09904514530523226,0.36824366889999194,0.1356033996849269,5,4,27,
0.3150518770354939,0.09925768522358798,0.36830944660378306,0.13565184845758493,5,4,28,
0.31538890065162556,0.09947015865424094,0.36837672621432427,0.13570141241638323,5,4,29,
0.31572541951380245,0.09968254052716655,0.3684455001634867,0.13575208659072188,5,4,30,
0.31606139675567285,0.09989480651914685,0.3685157602247491,0.13580386553402474,5,4,31,
0.3163967967823468,0.10010693301412965,0.36858749750060266,0.13585674331375677,5,4,32,
0.31673158520854655,0.10031889706871877,0.3686607024170537,0.13591071350663542,5,4,33,
0.31706572880347,0.1005306763816756,0.36873536472372526,0.1359657691979387,5,4,34,
0.31739919544102363,0.1007422492666091,0.3688114734984159,0.13602190298407274,5,4,35,
0.31773195405443766,0.10095359462725129,0.36888901715523686,0.13607910697775663,5,4,36,
0.3180639745945294,0.10116469193486943,0.36896798345564125,0.13613737281532237,5,4,37,
0.31839522799106507,0.1013755212074823,0.3690483595218068,0.13619669166573678,5,4,38,
0.3187256861168073,0.10158606299062956,0.3691301318519428,0.1362570542410327,5,4,39,
0.31905532175392914,0.10179629833950324,0.3692132863371765,0.13631845080789787,5,4,40,
