CourtName,Area,DayOfHearing,DayPrinted,DateDifferenceHearingToResult,ResultType,DayOfPreviousCheck,AMPMofPreviousCheck,BestPredDay,BestPredAMPM,DateDifbetweenPrintingAndLastCheck
Thames,B,Thursday,Monday,4,Adjournment,Null,Null,Saturday,AM,NotCheckedBefore
Thames,L,Thursday,Monday,4,Adjournment,Null,Null,Saturday,AM,NotCheckedBefore
Croydon,H,Thursday,Monday,4,Adjournment,Null,Null,Saturday,AM,NotCheckedBefore
Croydon,H,Thursday,Monday,4,Adjournment,Null,Null,Saturday,AM,NotCheckedBefore
Croydon,H,Thursday,Monday,4,Adjournment,Null,Null,Saturday,AM,NotCheckedBefore
Thames,L,Thursday,Monday,4,Warrant,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,H,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,H,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Adjournment,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,H,Thursday,Monday,4,Adjournment,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Adjournment,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Adjournment,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Adjournment,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Adjournment,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Adjournment,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Adjournment,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Bailconditions,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,H,Thursday,Monday,4,Bailconditions,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Bailconditions,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Bailconditions,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Bailconditions,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Bailconditions,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Bailconditions,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Bailconditions,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Bailconditions,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Bailconditions,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Bailconditions,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,H,Thursday,Monday,4,Warrant,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,H,Thursday,Monday,4,Warrant,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Bailconditions,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
CityofLondon,B,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
Norwich,B,Thursday,Tuesday,5,Result,Null,Null,Monday,PM,NotCheckedBefore
Norwich,B,Thursday,Tuesday,5,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Uxbridge,L,Thursday,Wednesday,6,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Southend,B,Thursday,Wednesday,6,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Southend,B,Thursday,Wednesday,20,Result,Null,Null,Unknown,Unknown,NotCheckedBefore
