CourtName,Area,DayOfHearing,DayPrinted,DateDifferenceHearingToResult,ResultType,DayOfPreviousCheck,AMPMofPreviousCheck,BestPredDay,BestPredAMPM,DateDifbetweenPrintingAndLastCheck
Reading,B,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Hendon,L,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Hendon,L,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Hendon,L,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,H,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,H,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,B,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,B,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,B,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,B,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,H,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Bailconditions,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,H,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,H,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,B,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Blackfriars,H,Monday,Wednesday,2,Bailconditions,Null,Null,Tuesday,PM,NotCheckedBefore
Feltham,H,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Hendon,L,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Croydon,H,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Crawley,H,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Blackfriars,L,Monday,Thursday,3,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Eastbourne,H,Tuesday,Friday,3,Adjournment,Thursday,AM,Wednesday,PM,1
Eastbourne,H,Tuesday,Friday,3,Adjournment,Thursday,AM,Wednesday,PM,1
Worthing,H,Tuesday,Friday,3,Result,Thursday,AM,Wednesday,PM,1
Worthing,H,Tuesday,Friday,3,Result,Thursday,AM,Wednesday,PM,1
Highgate,L,Tuesday,Friday,3,Bailconditions,Thursday,AM,Wednesday,PM,1
Croydon,H,Tuesday,Friday,3,Result,Thursday,AM,Wednesday,PM,1
Croydon,H,Tuesday,Friday,3,Bailconditions,Thursday,AM,Wednesday,PM,1
Folkestone,H,Tuesday,Friday,45,Result,Thursday,AM,Wednesday,PM,1
Uxbridge,L,Tuesday,Friday,3,Bailconditions,Thursday,AM,Wednesday,PM,1
LavenderHill,H,Tuesday,Thursday,2,Result,Wednesday,AM,Tuesday,PM,1
Hendon,L,Tuesday,Thursday,2,Result,Wednesday,AM,Tuesday,PM,1
Hammersmith,H,Tuesday,Thursday,2,Result,Wednesday,AM,Tuesday,PM,1
Hammersmith,L,Tuesday,Thursday,2,Result,Wednesday,AM,Tuesday,PM,1
CityofLondon,B,Tuesday,Friday,3,Adjournment,Thursday,AM,Wednesday,PM,1
CityofLondon,B,Tuesday,Friday,3,Adjournment,Thursday,AM,Wednesday,PM,1
Highgate,L,Tuesday,Friday,3,Bailconditions,Thursday,AM,Wednesday,PM,1
Aylesbury,B,Tuesday,Friday,3,Bailconditions,Thursday,PM,Thursday,AM,1
Westminster,B,Tuesday,Thursday,2,Adjournment,Null,Null,Wednesday,PM,NotCheckedBefore
CityofLondon,L,Tuesday,Thursday,2,Result,Null,Null,Wednesday,PM,NotCheckedBefore
CityofLondon,L,Tuesday,Thursday,2,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Thames,L,Tuesday,Thursday,2,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Blackfriars,B,Tuesday,Thursday,2,Adjournment,Null,Null,Wednesday,PM,NotCheckedBefore
LavenderHill,L,Tuesday,Thursday,2,Adjournment,Null,Null,Wednesday,PM,NotCheckedBefore
Staines,H,Tuesday,Thursday,2,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Dartford,H,Tuesday,Thursday,2,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Medway,H,Tuesday,Thursday,2,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Thames,L,Tuesday,Thursday,2,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Bedford,B,Tuesday,Friday,3,Adjournment,Null,Null,Thursday,PM,NotCheckedBefore
Folkestone,H,Tuesday,Friday,3,Adjournment,Null,Null,Thursday,PM,NotCheckedBefore
Sevenoaks,H,Tuesday,Friday,3,Adjournment,Null,Null,Thursday,PM,NotCheckedBefore
Croydon,H,Wednesday,Monday,5,Bailconditions,Friday,AM,Wednesday,AM,3
Thames,B,Wednesday,Monday,5,Bailconditions,Friday,AM,Wednesday,AM,3
Thames,B,Wednesday,Monday,5,Bailconditions,Friday,AM,Wednesday,AM,3
Thames,B,Wednesday,Monday,5,Bailconditions,Friday,AM,Wednesday,AM,3
Thames,L,Wednesday,Monday,5,Result,Friday,AM,Wednesday,AM,3
Southend,B,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Peterborough,B,Wednesday,Tuesday,6,Adjournment,Wednesday,AM,Tuesday,PM,NotCheckedBefore
Blackfriars,L,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Sevenoaks,H,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Thames,L,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Croydon,H,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Croydon,H,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Thames,B,Wednesday,Monday,5,Result,Friday,AM,Wednesday,AM,3
Croydon,H,Wednesday,Monday,5,Result,Friday,AM,Wednesday,AM,3
Thames,B,Wednesday,Monday,5,Result,Saturday,AM,Thursday,AM,2
BlackfriarsCC,L,Wednesday,Tuesday,6,Result,Monday,AM,Sunday,PM,1
Westminster,L,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,B,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,H,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Westminster,H,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Westminster,H,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Westminster,H,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Bailconditions,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Bailconditions,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Bailconditions,Null,Null,Friday,AM,NotCheckedBefore
Westminster,B,Wednesday,Friday,2,Bailconditions,Null,Null,Friday,AM,NotCheckedBefore
Westminster,B,Wednesday,Friday,2,Bailconditions,Null,Null,Friday,AM,NotCheckedBefore
Westminster,H,Wednesday,Friday,2,Bailconditions,Null,Null,Friday,AM,NotCheckedBefore
Redhill,H,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Feltham,H,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Bexley,H,Wednesday,Friday,2,Warrant,Null,Null,Friday,AM,NotCheckedBefore
Thames,L,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Thames,L,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Barkingside,B,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Barkingside,B,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Thames,L,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Barkingside,L,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Hendon,L,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Ipswich,B,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Slough,H,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Slough,H,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
MiltonKeynes,B,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Slough,B,Wednesday,Friday,2,Bailconditions,Null,Null,Friday,AM,NotCheckedBefore
Slough,B,Wednesday,Friday,2,Bailconditions,Null,Null,Friday,AM,NotCheckedBefore
Slough,B,Wednesday,Friday,2,Bailconditions,Null,Null,Friday,AM,NotCheckedBefore
Ipswich,B,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
BrightonandHove,H,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Peterborough,B,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Peterborough,B,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Ipswich,B,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Reading,B,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Reading,B,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Blackfriars,B,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Tottenham,L,Wednesday,Monday,5,Result,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,H,Wednesday,Monday,5,Result,Null,Null,Saturday,AM,NotCheckedBefore
Reading,B,Wednesday,Tuesday,6,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Basildon,B,Thursday,Tuesday,5,Result,Monday,AM,Sunday,PM,1
Southend,B,Thursday,Tuesday,5,Adjournment,Monday,AM,Sunday,PM,1
Basildon,B,Thursday,Tuesday,5,Adjournment,Monday,AM,Sunday,PM,1
Westminster,H,Thursday,Wednesday,6,Result,Tuesday,AM,Monday,PM,1
Westminster,H,Thursday,Tuesday,5,Adjournment,Monday,AM,Sunday,PM,1
Westminster,L,Thursday,Tuesday,5,Adjournment,Monday,AM,Sunday,PM,1
Westminster,L,Thursday,Tuesday,5,Adjournment,Monday,AM,Sunday,PM,1
Westminster,L,Thursday,Tuesday,5,Adjournment,Monday,AM,Sunday,PM,1
Westminster,H,Thursday,Tuesday,5,Adjournment,Monday,AM,Sunday,PM,1
Westminster,B,Thursday,Tuesday,5,Result,Monday,AM,Sunday,PM,1
Westminster,H,Thursday,Tuesday,5,Result,Monday,AM,Sunday,PM,1
Westminster,B,Thursday,Tuesday,5,Result,Monday,AM,Sunday,PM,1
Westminster,H,Thursday,Tuesday,5,Result,Monday,AM,Sunday,PM,1
Westminster,H,Thursday,Tuesday,5,Bailconditions,Monday,AM,Sunday,PM,1
Westminster,L,Thursday,Tuesday,5,Bailconditions,Monday,AM,Sunday,PM,1
CroydonCC,L,Thursday,Wednesday,6,Result,Tuesday,PM,Tuesday,AM,1
Thames,L,Thursday,Monday,4,Result,Friday,AM,Saturday,PM,3
EastDorset,H,Thursday,Thursday,7,Result,Tuesday,AM,Monday,PM,2
KingstonUponThames,H,Thursday,Friday,1,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Dartford,H,Thursday,Monday,4,Bailconditions,Null,Null,Saturday,AM,NotCheckedBefore
StAlbans,B,Thursday,Monday,4,Adjournment,Null,Null,Saturday,AM,NotCheckedBefore
Croydon,H,Thursday,Monday,4,Adjournment,Null,Null,Saturday,AM,NotCheckedBefore
LavenderHill,H,Thursday,Monday,4,Adjournment,Null,Null,Saturday,AM,NotCheckedBefore
Croydon,H,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
Hammersmith,H,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
Croydon,H,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
Croydon,H,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,H,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,H,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
Bromley,H,Thursday,Monday,4,Bailconditions,Null,Null,Saturday,AM,NotCheckedBefore
Croydon,H,Thursday,Monday,4,Adjournment,Null,Null,Saturday,AM,NotCheckedBefore
BrightonandHove,H,Thursday,Monday,4,Adjournment,Null,Null,Saturday,AM,NotCheckedBefore
Croydon,H,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
Hastings,H,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
Reading,B,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
Croydon,H,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
Croydon,H,Thursday,Monday,4,Result,Null,Null,Saturday,AM,NotCheckedBefore
Oxford,B,Thursday,Monday,4,Bailconditions,Null,Null,Saturday,AM,NotCheckedBefore
Romford,B,Thursday,Tuesday,5,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Uxbridge,B,Thursday,Tuesday,5,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Oxford,B,Thursday,Tuesday,5,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Cambridge,B,Thursday,Tuesday,5,Bailcondition,Null,Null,Monday,PM,NotCheckedBefore
Romford,B,Thursday,Tuesday,5,Result,Null,Null,Monday,PM,NotCheckedBefore
Croydon,H,Thursday,Tuesday,5,Result,Null,Null,Monday,PM,NotCheckedBefore
Croydon,H,Thursday,Tuesday,5,Result,Null,Null,Monday,PM,NotCheckedBefore
Uxbridge,L,Thursday,Tuesday,5,Result,Null,Null,Monday,PM,NotCheckedBefore
Uxbridge,B,Thursday,Tuesday,5,Result,Null,Null,Monday,PM,NotCheckedBefore
Lowestoft,B,Thursday,Tuesday,5,Result,Null,Null,Monday,PM,NotCheckedBefore
Reading,B,Thursday,Tuesday,5,Result,Null,Null,Monday,PM,NotCheckedBefore
Westminster,B,Friday,Wednesday,5,Result,Tuesday,AM,Monday,PM,1
Westminster,L,Friday,Wednesday,5,Result,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Result,Tuesday,AM,Monday,PM,1
Westminster,L,Friday,Wednesday,5,Result,Tuesday,AM,Monday,PM,1
Westminster,L,Friday,Wednesday,5,Result,Tuesday,AM,Monday,PM,1
Westminster,B,Friday,Wednesday,5,Result,Tuesday,AM,Monday,PM,1
Westminster,B,Friday,Wednesday,5,Result,Tuesday,AM,Monday,PM,1
Westminster,B,Friday,Wednesday,5,Result,Tuesday,AM,Monday,PM,1
Westminster,L,Friday,Wednesday,5,Result,Tuesday,AM,Monday,PM,1
Westminster,B,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
Westminster,B,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
Westminster,B,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
Westminster,L,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Bailconditions,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Bailconditions,Tuesday,AM,Monday,PM,1
Westminster,L,Friday,Wednesday,5,Bailconditions,Tuesday,AM,Monday,PM,1
Westminster,L,Friday,Wednesday,5,Bailconditions,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Bailconditions,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Bailconditions,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Bailconditions,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Bailconditions,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Bailconditions,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Bailconditions,Tuesday,AM,Monday,PM,1
Westminster,H,Friday,Wednesday,5,Bailconditions,Tuesday,AM,Monday,PM,1
Barkingside,L,Friday,Wednesday,5,Result,Tuesday,AM,Monday,PM,1
Ipswich,B,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
Ipswich,B,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
WoolwichCC,London,Friday,Friday,7,Bailcondition,Thursday,PM,Thursday,AM,1
Bromley,London,Friday,Friday,7,Adjournment,Thursday,PM,Thursday,AM,1
Bromley,London,Friday,Friday,7,Adjournment,Thursday,PM,Thursday,AM,1
EastDorset,H,Friday,Thursday,6,Result,Tuesday,AM,Monday,PM,2
Snaresbrook,L,Friday,Thursday,13,Adjournment,Thursday,AM,Wednesday,PM,0
Thames,L,Friday,Tuesday,4,Adjournment,Monday,PM,Monday,AM,1
Thames,L,Friday,Tuesday,4,Result,Monday,PM,Monday,AM,1
Croydon,H,Friday,Tuesday,4,Result,Monday,PM,Monday,AM,1
croydon,H,Friday,Tuesday,4,Result,Monday,PM,Monday,AM,1
Thames,B,Friday,Tuesday,4,Result,Monday,PM,Monday,AM,1
LavenderHill,H,Friday,Monday,3,Adjournment,Null,Null,Monday,AM,NotCheckedBefore
Basildon,B,Friday,Monday,3,Bailconditions,Null,Null,Monday,AM,NotCheckedBefore
Basildon,B,Friday,Monday,3,Bailconditions,Null,Null,Monday,AM,NotCheckedBefore
Weymouth,H,Friday,Tuesday,4,Result,Null,Null,Monday,PM,NotCheckedBefore
Chelmsford,B,Friday,Tuesday,4,Result,Null,Null,Monday,PM,NotCheckedBefore
LavenderHill,H,Friday,Tuesday,4,Result,Null,Null,Monday,PM,NotCheckedBefore
Croydon,H,Friday,Tuesday,4,Result,Null,Null,Monday,PM,NotCheckedBefore
Barkingside,B,Friday,Tuesday,4,Bailcondition,Null,Null,Monday,PM,NotCheckedBefore
Croydon,H,Friday,Tuesday,4,Warrant,Null,Null,Monday,PM,NotCheckedBefore
Hammersmith,L,Friday,Tuesday,4,Warrant,Null,Null,Monday,PM,NotCheckedBefore
Southwark,L,Friday,Tuesday,4,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Croydon,H,Friday,Tuesday,4,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
LavenderHill,H,Friday,Tuesday,4,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Croydon,H,Friday,Tuesday,4,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
LavenderHill,H,Friday,Tuesday,4,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Croydon,H,Friday,Tuesday,4,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Reading,B,Friday,Tuesday,4,Result,Null,Null,Monday,PM,NotCheckedBefore
Winchester,H,Friday,Thursday,6,Adjournment,Null,Null,Wednesday,PM,NotCheckedBefore
Westminster,London,Saturday,Monday,9,Result,Friday,AM,Wednesday,AM,3
Westminster,B,Saturday,Wednesday,4,Result,Tuesday,AM,Monday,PM,1
Westminster,L,Saturday,Wednesday,4,Result,Tuesday,AM,Monday,PM,1
Westminster,H,Saturday,Wednesday,4,Result,Tuesday,AM,Monday,PM,1
Westminster,L,Saturday,Wednesday,4,Result,Tuesday,AM,Monday,PM,1
Westminster,L,Saturday,Wednesday,4,Result,Tuesday,AM,Monday,PM,1
CamberwellGreen,H,Saturday,Monday,2,Bailconditions,Null,Null,Monday,AM,NotCheckedBefore
CamberwellGreen,H,Saturday,Monday,2,Bailconditions,Null,Null,Monday,AM,NotCheckedBefore
CamberwellGreen,H,Saturday,Monday,2,Bailconditions,Null,Null,Monday,AM,NotCheckedBefore
CamberwellGreen,H,Saturday,Monday,2,Bailconditions,Null,Null,Monday,AM,NotCheckedBefore
Thames,London,Monday,Monday,7,Adjournment,Friday,AM,Wednesday,AM,3
StAlbans,L,Monday,Thursday,31,Bailcondition,Monday,AM,Sunday,PM,3
Bromley,London,Monday,Monday,7,Result,Thursday,PM,Thursday,AM,4
Bromley,London,Monday,Monday,7,Result,Thursday,PM,Thursday,AM,4
Westminster,B,Monday,Thursday,3,Adjournment,Wednesday,AM,Tuesday,PM,1
Westminster,B,Monday,Thursday,3,Adjournment,Wednesday,AM,Tuesday,PM,1
Westminster,L,Monday,Thursday,3,Adjournment,Wednesday,AM,Tuesday,PM,1
Westminster,L,Monday,Thursday,3,Adjournment,Wednesday,AM,Tuesday,PM,1
Westminster,L,Monday,Thursday,3,Adjournment,Wednesday,AM,Tuesday,PM,1
Westminster,B,Monday,Thursday,3,Adjournment,Wednesday,AM,Tuesday,PM,1
Westminster,H,Monday,Thursday,3,Adjournment,Wednesday,AM,Tuesday,PM,1
Westminster,B,Monday,Thursday,3,Adjournment,Wednesday,AM,Tuesday,PM,1
Westminster,H,Monday,Thursday,3,Adjournment,Wednesday,AM,Tuesday,PM,1
Westminster,H,Monday,Thursday,3,Adjournment,Wednesday,AM,Tuesday,PM,1
Westminster,H,Monday,Thursday,3,Result,Wednesday,AM,Tuesday,PM,1
Westminster,H,Monday,Thursday,3,Result,Wednesday,AM,Tuesday,PM,1
Westminster,H,Monday,Thursday,3,Result,Wednesday,AM,Tuesday,PM,1
Westminster,L,Monday,Thursday,3,Result,Wednesday,AM,Tuesday,PM,1
Westminster,H,Monday,Thursday,3,Result,Wednesday,AM,Tuesday,PM,1
Westminster,L,Monday,Thursday,3,Result,Wednesday,AM,Tuesday,PM,1
Colchester,B,Monday,Thursday,3,Adjournment,Tuesday,AM,Monday,PM,2
BrightonandHove,H,Monday,Thursday,3,Adjournment,Tuesday,AM,Monday,PM,2
Colchester,B,Monday,Thursday,3,Result,Tuesday,AM,Monday,PM,2
Colchester,B,Monday,Thursday,3,Result,Tuesday,AM,Monday,PM,2
Slough,B,Monday,Tuesday,1,Adjournment,Null,Null,Tuesday,AM,NotCheckedBefore
Thames,B,Monday,Wednesday,2,Bailconditions,Null,Null,Tuesday,PM,NotCheckedBefore
CityofLondon,L,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
CambridgeCC,London,Monday,Friday,4,Result,Null,Null,Thursday,PM,NotCheckedBefore
Croydon,H,Monday,Friday,11,Result,Null,Null,Unknown,Unknown,NotCheckedBefore
Barkingside,B,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Tottenham,B,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Barkingside,B,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Aylesbury,L,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
BlackfriarsCC,B,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Croydon,H,Monday,Thursday,3,Adjournment,Null,Null,Wednesday,PM,NotCheckedBefore
Westminster,London,Tuesday,Monday,6,Adjournment,Friday,AM,Wednesday,AM,3
Westminster,London,Tuesday,Monday,6,Adjournment,Friday,AM,Wednesday,AM,3
Westminster,London,Tuesday,Monday,6,Bailcondition,Friday,AM,Wednesday,AM,3
Westminster,London,Tuesday,Monday,6,Bailcondition,Friday,AM,Wednesday,AM,3
Croydon,H,Tuesday,Thursday,2,Adjournment,Wednesday,AM,Tuesday,PM,1
Westminster,London,Tuesday,Friday,3,Result,Thursday,AM,Wednesday,PM,1
Westminster,London,Tuesday,Friday,3,Result,Thursday,AM,Wednesday,PM,1
Westminster,London,Tuesday,Friday,3,Result,Thursday,AM,Wednesday,PM,1
Basildon,B,Tuesday,Friday,3,Result,Thursday,PM,Thursday,AM,1
Bournemouth,H,Tuesday,Friday,3,Result,Thursday,PM,Thursday,AM,1
Bournemouth,H,Tuesday,Friday,3,Result,Thursday,PM,Thursday,AM,1
Worthing,H,Tuesday,Friday,3,Result,Thursday,PM,Thursday,AM,1
Worthing,H,Tuesday,Friday,3,Result,Thursday,PM,Thursday,AM,1
Brighton,H,Tuesday,Friday,3,Result,Thursday,PM,Thursday,AM,1
Bromley,London,Tuesday,Tuesday,7,Adjournment,Monday,PM,Monday,AM,1
Bromley,London,Tuesday,Tuesday,7,Adjournment,Monday,PM,Monday,AM,1
Bromley,H,Tuesday,Wednesday,8,bailcondition,Tuesday,AM,Monday,PM,1
Bromley,H,Tuesday,Wednesday,8,bailcondition,Tuesday,AM,Monday,PM,1
Bromley,H,Tuesday,Wednesday,8,bailcondition,Tuesday,AM,Monday,PM,1
Bromley,H,Tuesday,Wednesday,8,bailcondition,Tuesday,AM,Monday,PM,1
