-15.975305318066091,
19.31015077823166,
-11.144411482385111,
-17.84302626238118,
20.710694270976433,
-8.78158565670353,
-11.194098021440318,
19.110852716874522,
-11.6060935873125,
-11.774158359353791,
16.026801365776908,
-10.305194778285035,
-0.9341696058026256,
0.9487110330566892,
-0.4930504007292478,
