Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs
0.2204132503802249,0.04858200094317571,0.24531647450294816,0.06018017266255562,6,3,1,
0.22229257479167752,0.04941398880751354,0.24706355955783563,0.06104040246138819,6,3,2,
0.2243560444309821,0.05033563467271681,0.2489621049539412,0.06198212970309723,6,3,3,
0.22660529105841978,0.051349957935671146,0.25099590468354,0.0629989441679087,6,3,4,
0.22904094789662505,0.05245975581338451,0.25316001301635827,0.06408999219044269,6,3,5,
0.23165624070926757,0.05366461385955012,0.2554475720183779,0.06525346205008438,6,3,6,
0.2344330518045511,0.054958855778395335,0.2578455602604848,0.06648433294604328,6,3,7,
0.23734073112412368,0.056330622650533575,0.26033369024870273,0.0677736302785075,6,3,8,
0.24033766623955852,0.05776219381347742,0.2628851771049247,0.06910861634148763,6,3,9,
0.24337545172367056,0.059231610501700706,0.2654689986818679,0.0704737892611536,6,3,10,
0.2464045075582116,0.06071518134500477,0.2680529782662795,0.07185239915742252,6,3,11,
0.2493794430864618,0.06219010663411384,0.2706068190755551,0.07322805053019021,6,3,12,
0.2522627977821992,0.0636365191449027,0.273104387160065,0.07458600628607467,6,3,13,
0.2550266819823113,0.06503860852290697,0.27552494488179713,0.07591399525211734,6,3,14,
0.25765264389317405,0.06638488490514277,0.27785341749815223,0.0772025216154025,6,3,15,
0.26013044482664044,0.06766784832570584,0.28007997742770224,0.07844479375590219,6,3,16,
0.26245638677211897,0.0688833549574761,0.282199259302629,0.07963642195095245,6,3,17,
0.2646316269296432,0.07002989797142987,0.2842094521570252,0.08077501269539639,6,3,18,
0.2666607027324946,0.07110793038178784,0.28611142452724236,0.08185974724500791,6,3,19,
0.2685503444220827,0.07211928748921924,0.28790796166926735,0.08289099439255233,6,3,20,
0.27030857155854016,0.07306672385801842,0.2896031422915,0.08386998002511081,6,3,21,
0.2719440345904779,0.07395355794934702,0.2912018525075612,0.08479851890383543,6,3,22,
0.27346555290320224,0.0747834086246541,0.292709420551955,0.08567880487986125,6,3,23,
0.27488180322930067,0.07556000574659197,0.2941313510424764,0.08651325166607249,6,3,24,
0.2762011193981632,0.0762870583567984,0.29547313781520146,0.08730437517036105,6,3,25,
0.27743137239065885,0.07696816638656444,0.29674013685689393,0.08805470882184815,6,3,26,
0.2785799069491442,0.07760676455579384,0.29793748407795845,0.08876674441870373,6,3,27,
0.2796535170407204,0.07820608959324447,0.2990700458328421,0.08944289231445826,6,3,28,
0.2806584472418032,0.07876916400818004,0.3001423928707078,0.09008545599815433,6,3,29,
0.28160041075658643,0.07929879133827819,0.3011587906880085,0.0906966172086637,6,3,30,
0.2824846175065305,0.07979755912781082,0.3021232010701036,0.09127842862484625,6,3,31,
0.28331580773193854,0.08026784691080077,0.3030392910119031,0.0918328118969969,6,3,32,
0.2840982880010093,0.0807118372451044,0.3039104462711582,0.09236155935273453,6,3,33,
0.28483596756460894,0.08113152841846695,0.30473978760284426,0.09286633814822665,6,3,34,
0.2855323937340061,0.08152874787147148,0.30553018831002066,0.09334869596875668,6,3,35,
0.28619078547593213,0.081905165691331,0.3062842921755261,0.09381006763346306,6,3,36,
0.2868140647759942,0.08226230775332818,0.30700453114934495,0.09425178214622912,6,3,37,
0.2874048855631461,0.0826015682455651,0.30769314238899287,0.09467506987321304,6,3,38,
