Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs
0.195760374,0.038322124,0.171981323,0.029577575,6,5,46000
0.195833204,0.038350644,0.172051102,0.029601582,6,5,46500
0.195910319,0.038380853,0.172126058,0.02962738,6,5,47000
0.195991602,0.038412708,0.172200386,0.029652973,6,5,47500
0.19616742,0.038481657,0.17183536,0.029527391,6,5,48000
0.196372439,0.038562135,0.171406635,0.029380235,6,5,48500
0.196731745,0.038703379,0.170884979,0.029201676,6,5,49000
0.197175003,0.038877982,0.170057136,0.02891943,6,5,49500
0.196037002,0.038430506,0.188337414,0.035470982,6,5,50000
0.193106069,0.037289954,0.189232473,0.035808929,6,5,50500
0.193101095,0.037288033,0.189423504,0.035881264,6,5,51000
0.193102533,0.037288588,0.189626395,0.03595817,6,5,51500
0.193105377,0.037289687,0.189827076,0.036034319,6,5,52000
0.193108968,0.037291073,0.190028656,0.03611089,6,5,52500
0.193113019,0.037292638,0.19023191,0.03618818,6,5,53000
0.193117392,0.037294327,0.19043711,0.036266293,6,5,53500
0.193122015,0.037296113,0.190644374,0.036345277,6,5,54000
0.19312685,0.03729798,0.190853757,0.036425156,6,5,54500
0.193131872,0.03729992,0.191065288,0.036505944,6,5,55000
0.193137067,0.037301927,0.191278985,0.03658765,6,5,55500
0.193142424,0.037303996,0.191494859,0.036670281,6,5,56000
0.193147937,0.037306126,0.191712919,0.036753843,6,5,56500
0.193153599,0.037308313,0.191933172,0.036838343,6,5,57000
0.193159406,0.037310556,0.192155626,0.036923785,6,5,57500
0.193165353,0.037312854,0.192380287,0.037010175,6,5,58000
0.193171437,0.037315204,0.192607162,0.037097519,6,5,58500
0.193177655,0.037317606,0.192836256,0.037185822,6,5,59000
0.193184003,0.037320059,0.193067577,0.037275089,6,5,59500
0.19319048,0.037322562,0.193301131,0.037365327,6,5,60000
0.193197082,0.037325113,0.193536922,0.03745654,6,5,60500
0.193203808,0.037327711,0.193774958,0.037548734,6,5,61000
0.193210655,0.037330357,0.194015242,0.037641914,6,5,61500
0.193217623,0.03733305,0.194257782,0.037736086,6,5,62000
0.193224708,0.037335788,0.194502583,0.037831255,6,5,62500
0.19323191,0.037338571,0.19474965,0.037927426,6,5,63000
0.193239228,0.037341399,0.194998989,0.038024606,6,5,63500
0.193246662,0.037344272,0.195250608,0.0381228,6,5,64000
0.193254209,0.037347189,0.195504513,0.038222015,6,5,64500
0.193261871,0.037350151,0.195760714,0.038322257,6,5,65000
0.193269647,0.037353157,0.19601922,0.038423535,6,5,65500
0.193277539,0.037356207,0.196280046,0.038525856,6,5,66000
0.193285546,0.037359302,0.196543208,0.038629233,6,5,66500
0.193293671,0.037362443,0.196808729,0.038733676,6,5,67000
0.193301917,0.037365631,0.197076641,0.038839202,6,5,67500
0.193310289,0.037368868,0.197346985,0.038945832,6,5,68000
0.193318791,0.037372155,0.19761982,0.039053593,6,5,68500
0.193327432,0.037375496,0.197895226,0.03916252,6,5,69000
0.193336223,0.037378895,0.198173314,0.039272662,6,5,69500
0.193345178,0.037382358,0.19845423,0.039384081,6,5,70000
0.193354312,0.03738589,0.198738153,0.039496854,6,5,70500
0.193363638,0.037389497,0.19902528,0.039611062,6,5,71000
0.193373162,0.03739318,0.19931577,0.039726776,6,5,71500
0.193382867,0.037396933,0.199609664,0.039844018,6,5,72000
0.193392712,0.037400741,0.199906789,0.039962724,6,5,72500
0.193402629,0.037404577,0.200206754,0.040082745,6,5,73000
0.193412551,0.037408415,0.200509059,0.040203883,6,5,73500
0.193422434,0.037412238,0.200813271,0.04032597,6,5,74000
0.193432271,0.037416044,0.201119152,0.040448913,6,5,74500
0.193442087,0.037419841,0.201426664,0.040572701,6,5,75000
0.193451923,0.037423646,0.201735906,0.040697376,6,5,75500
0.193461826,0.037427478,0.202047043,0.040823008,6,5,76000
0.193471844,0.037431354,0.20236027,0.040949679,6,5,76500
0.193482028,0.037435295,0.202675804,0.041077481,6,5,77000
0.193492442,0.037439325,0.202993923,0.041206533,6,5,77500
0.193503183,0.037443482,0.203315075,0.04133702,6,5,78000
0.193514453,0.037447844,0.203640194,0.041469329,6,5,78500
0.193526817,0.037452629,0.203971895,0.041604534,6,5,79000
0.193542809,0.037458819,0.204321654,0.041747338,6,5,79500
0.193631798,0.037493273,0.205053311,0.04204686,6,5,80000
0.193082069,0.037280686,0.201419632,0.040569868,6,5,80500
0.19272124,0.037141476,0.197825406,0.039134891,6,5,81000
0.192552752,0.037076562,0.195670312,0.038286871,6,5,81500
0.192469401,0.03704447,0.194291392,0.037749145,6,5,82000
0.192430613,0.037029541,0.193486423,0.037436996,6,5,82500
0.192422609,0.03702646,0.193893058,0.037594518,6,5,83000
0.192302056,0.036980081,0.197405142,0.03896879,6,5,83500
0.192247642,0.036959156,0.1957495,0.038317867,6,5,84000
0.192208163,0.036943978,0.194206508,0.037716168,6,5,84500
0.192195597,0.036939148,0.193039231,0.037264145,6,5,85000
0.192199751,0.036940744,0.192177729,0.036932279,6,5,85500
0.192214574,0.036946443,0.191565085,0.036697182,6,5,86000
0.192236403,0.036954835,0.191154158,0.036539912,6,5,86500
0.19226297,0.03696505,0.190905301,0.036444834,6,5,87000
0.19229284,0.036976536,0.190785165,0.036398979,6,5,87500
0.192325085,0.036988938,0.190765975,0.036391657,6,5,88000
0.192359092,0.03700202,0.190824933,0.036414155,6,5,88500
0.192394447,0.037015623,0.190943618,0.036459465,6,5,89000
0.192430863,0.037029637,0.191107368,0.036522026,6,5,89500
0.192468135,0.037043983,0.19130467,0.036597477,6,5,90000
0.192496445,0.037054882,0.191530383,0.036683888,6,5,90500
0.192601201,0.037095223,0.191878972,0.03681754,6,5,91000
0.192713953,0.037138668,0.192269193,0.036967443,6,5,91500
0.192835488,0.037185525,0.192694341,0.037131109,6,5,92000
0.192966601,0.037236109,0.193153654,0.037308334,6,5,92500
0.193108178,0.037290768,0.193647467,0.037499342,6,5,93000
0.193261179,0.037349883,0.194176987,0.037704702,6,5,93500
0.193426612,0.037413854,0.194744097,0.037925263,6,5,94000
0.193605491,0.037483086,0.195351152,0.038162072,6,5,94500
0.193798773,0.037557965,0.196000349,0.038416137,6,5,95000
0.194007276,0.037638823,0.196524281,0.038621793,6,5,95500
0.194231562,0.0377259,0.200386645,0.040154807,6,5,96000
0.194471793,0.037819278,0.20162443,0.040652411,6,5,96500
0.19472753,0.037918811,0.202453353,0.04098736,6,5,97000
0.194997423,0.038023995,0.20333301,0.041344313,6,5,97500
0.195279077,0.038133918,0.204264556,0.041724009,6,5,98000
0.199819636,0.039927887,0.203364729,0.041357213,6,5,98500
0.195459419,0.038204384,0.199572316,0.039829109,6,5,99000
0.193772682,0.037547852,0.195961597,0.038400948,6,5,99500
0.193496446,0.037440875,0.195960063,0.038400346,6,5,100000
