Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs,Norm Test RMSE,Norm Test MSE
0.22745850675189375,0.05173737229380129,0.2485860377147333,0.06179501814671082,6,4,0,73.08263833704464,5341.072026303268,
0.1781713998466017,0.03174504772329763,0.18727705278145396,0.03507269449850749,6,4,500,97.9254654092695,9589.396775622039,
0.17496539233526412,0.030612888515032896,0.18287792323498755,0.033444334806742,6,4,1000,99.18822208695904,9838.303400771909,
0.1734740177669647,0.030093234840213184,0.180541544926993,0.03259524944462543,6,4,1500,99.66397496027007,9932.90790488134,
0.17253997607224691,0.029770043343011535,0.17899222002562362,0.032038214829701255,6,4,2000,99.92475112264205,9984.955886921953,
0.17187218986224984,0.029540049648045255,0.1778758339516779,0.03163981230400488,6,4,2500,100.09352587179599,10018.713921447892,
0.17136410409034072,0.029365656170685126,0.17703874597737018,0.03134271757723981,6,4,3000,100.2125549184438,10042.556163282115,
0.17096628302758524,0.029229469932268378,0.17639595229593738,0.03111553198639062,6,4,3500,100.30088327690177,10060.267186126674,
0.17065056131942125,0.029121614078633548,0.17589368939295558,0.03093858996826553,6,4,4000,100.3687311530332,10073.882193269856,
0.17039805096128782,0.029035495771405646,0.1754954764867819,0.03079866226732262,6,4,4500,100.42223420239843,10084.625122201362,
0.17019484395680395,0.028966284909480847,0.17517565137372965,0.03068650883421047,6,4,5000,100.46534740645191,10093.286029499075,
0.17003031153065543,0.02891030683921173,0.17491579593200446,0.03059553566652663,6,4,5500,100.50074086425846,10100.39891426483,
0.1698962553952322,0.028864737597321964,0.17470250409354265,0.030520964936554283,6,4,6000,100.53027700938183,10106.336595583047,
0.16978634989476812,0.02882740461058863,0.17452589500013316,0.030459288025597508,6,4,6500,100.5552884810929,10111.366041515816,
0.16969571556255583,0.028796635880287854,0.17437859397668454,0.030407894037285402,6,4,7000,100.5767497874437,10115.682597806057,
0.16962058184477782,0.028771141785360974,0.1742550254867581,0.030364813907390723,6,4,7500,100.59538760097693,10119.432006590785,
0.16955802314884358,0.028749923214143776,0.17415091894133714,0.030328542568112175,6,4,8000,100.61175362263288,10122.72496702138,
0.1695057559246375,0.028732201291582785,0.1740629608507703,0.030297914340136796,6,4,8500,100.62627377293408,10125.646973425482,
0.16946198480997315,0.02871736429573557,0.17398854799572475,0.030272014833660613,6,4,9000,100.63928201937682,10128.265085375662,
0.16942528691340125,0.02870492784568833,0.17392561065101259,0.030250118040327623,6,4,9500,100.65104402632298,10130.632663588807,
0.16939452505078012,0.028694505117179372,0.1738724846937039,0.03023164093356229,6,4,10000,100.66177394280514,10132.792733312404,
0.16936878265316077,0.02868578453741361,0.17382781809272096,0.03021611034287609,6,4,10500,100.67164648842692,10134.7804066908,
0.16934731477906456,0.028678513022879583,0.17379050179910968,0.03020313851558635,6,4,11000,100.68080576829726,10136.624650153599,
0.1693295110676167,0.028672483318398133,0.17375961812340224,0.030192404890390576,6,4,11500,100.68937177932953,10138.349589316043,
0.16931486755580447,0.028667524375439606,0.17373440177280705,0.03018364235935514,6,4,12000,100.69744526437371,10139.975482771539,
