Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs,Norm Test RMSE,Norm Test MSE
0.17233641185153142,0.029699838849860664,0.17089106327528397,0.029203755507357113,6,3,0,105.82941637604223,11199.865370493717,
0.16881237939867996,0.028497619438243867,0.17673462449434635,0.031235127495157607,6,3,500,117.6279710765939,13836.33957959601,
0.1855792378043033,0.034439653504026155,0.1896555293931825,0.035969219829408317,6,3,1000,119.80292317549134,14352.74040139268,
0.19602075419818835,0.03842413607642657,0.1902690884687234,0.03620232602671889,6,3,1500,123.45942699220421,15242.230113243402,
0.19651398288378097,0.038617745468846956,0.18579585650666058,0.034520100295043606,6,3,2000,126.62824795689544,16034.713180632994,
0.1952241341656922,0.038112462560744194,0.1827655173226998,0.03340323432223408,6,3,2500,128.41794132155724,16491.16765326692,
0.19267885476546678,0.03712514107373184,0.1793197168086858,0.032155560836347276,6,3,3000,129.9808903214051,16895.031848745144,
0.18687751173473252,0.03492320439216509,0.1744642418454237,0.030437771682698487,6,3,3500,132.29438555684624,17501.804449863484,
0.18332977961019167,0.03360980809192145,0.17080213346254833,0.029173368795358173,6,3,4000,134.06645292106214,17973.813798835374,
0.18159196616491138,0.03297564217563832,0.16857044599369458,0.0284159952625131,6,3,4500,135.20010218976344,18279.06763212248,
0.18075401841182348,0.03267201517202182,0.1676128780295249,0.028094076881340392,6,3,5000,135.69702132113835,18413.68159542948,
0.1801834818195398,0.032466087120612434,0.1670952371039026,0.027920818262809427,6,3,5500,135.91804102569526,18473.713876262576,
0.18005010683493436,0.032418040971271274,0.1668394964107006,0.027835417562576174,6,3,6000,135.94739452621621,18481.694078466684,
0.1800533656635811,0.03241921448678324,0.1666667724366077,0.027777813034435984,6,3,6500,135.92770341384335,18476.340555361763,
0.1800867960712736,0.032431254119216484,0.16651451439894638,0.02772708350551692,6,3,7000,135.90702620631606,18470.719772244283,
0.18019403497343375,0.032469890240007064,0.16636592861863028,0.027677622205139182,6,3,7500,135.89070119113748,18466.28267021901,
0.18040179179102034,0.03254480648141065,0.16620033115400254,0.02762255007570011,6,3,8000,135.88064008667916,18463.54835036564,
0.18062852039772592,0.03262666238107169,0.1659750144127152,0.027547705409301022,6,3,8500,135.8791981724863,18463.156495997802,
0.18080076507716178,0.03268891665248704,0.16559732919558856,0.027422475436712127,6,3,9000,135.88738574767936,18465.381605338614,
0.18091578095405472,0.032730519798215514,0.16487500365987234,0.02718376683184292,6,3,9500,135.90393951483753,18469.880775652615,
0.18099216058745837,0.03275816219411632,0.16351359704137203,0.02673669641740819,6,3,10000,135.92844737599398,18476.54280604837,
0.18104170236198686,0.03277609799412624,0.1614326253926912,0.026060492541176972,6,3,10500,135.97310860728913,18488.686264329644,
0.18107056487155268,0.032786549462903165,0.15928355263288288,0.025371250139352375,6,3,11000,136.05624942589708,18511.30300784192,
0.18108354843332172,0.032791251513203175,0.1578328458612427,0.024911207232658796,6,3,11500,136.16035190600084,18539.64143116599,
0.18108532199006394,0.03279189384024513,0.15708808323590653,0.024676665894731102,6,3,12000,136.2552324735326,18565.48837641641,
0.181080038752233,0.0327899804345102,0.15673696420687394,0.024566475948786887,6,3,12500,136.33402935664998,18586.967560619894,
0.18107088257599754,0.03278666451685069,0.15656474877260915,0.024512520558230215,6,3,13000,136.40036042695957,18605.05832460448,
0.18106000740524553,0.032782726281587564,0.15647099879605073,0.024483173464233707,6,3,13500,136.45757414445913,18620.66954139056,
0.1810487381223276,0.03277864557568717,0.15641326015005247,0.024465107950767992,6,3,14000,136.50758769917087,18634.32149944683,
0.1810378279201612,0.0327746951380499,0.15637361580756598,0.024452707720732252,6,3,14500,136.55155919403057,18646.328318320837,
0.1810276696688803,0.03277101718574524,0.15634414468085467,0.024443491575988015,6,3,15000,136.590319737898,18656.915446101208,
0.18101844094023153,0.03276767596043209,0.1563210624876834,0.02443627457727822,6,3,15500,136.62454464167652,18666.266198545458,
0.18101019506269722,0.032764690716635694,0.15630237463120972,0.024430432315355032,6,3,16000,136.65481291315592,18674.537892329645,
0.1810029158219599,0.0327620555360515,0.15628691326995706,0.024425599259451078,6,3,16500,136.68162905899158,18681.86772221977,
0.18099654967729376,0.03275975099508507,0.15627392561043527,0.02442153982569585,6,3,17000,136.7054337705531,18688.37562239508,
0.1809910246076582,0.03275775098852994,0.156262887800976,0.02441809010390041,6,3,17500,136.72661157594428,18694.166313039143,
0.18098626111991706,0.0327560267141668,0.1562534147552495,0.024415129622676023,6,3,18000,136.7454975091698,18699.331089030366,
0.18098217866016292,0.03275454899257913,0.15624521277011152,0.02441256651357742,6,3,18500,136.76238316074983,18703.949447807747,
0.1809786993033958,0.032753289601548954,0.15623805237955182,0.02441032901135558,6,3,19000,136.77752211645736,18708.090556317984,
0.18097574980849404,0.03275222201874663,0.15623175145664214,0.02440836016321001,6,3,19500,136.7911347752183,18711.81455309194,
0.18097326267564184,0.03275132180346686,0.1562261639158579,0.024406614291864498,6,3,20000,136.8034125764823,18715.173692571232,
0.18097117658660936,0.03275056675514175,0.15622117172370475,0.02440505449472725,6,3,20500,136.8145216944612,18718.213346484197,
0.18096943646032798,0.03274993693276868,0.15621667901030023,0.024403650801007176,6,3,21000,136.8246062655426,18720.972879720757,
0.18096799326954874,0.03274941458800744,0.15621260759963834,0.02440237877307859,6,3,21500,136.83379121247182,18723.48641757833,
0.18096680371250914,0.03274898404592182,0.15620889354536588,0.02440121842266745,6,3,22000,136.8421847210365,18725.783519226272,
0.18096582980156714,0.032748631555769764,0.15620548440567703,0.02440015335841221,6,3,22500,136.84988041591615,18727.889769850546,
0.18096503841044484,0.03274834512689377,0.15620233707632042,0.024399170108104426,6,3,23000,136.85695927410623,18729.827301754372,
0.18096440080834442,0.03274811435992313,0.15619941605349633,0.024398257575453247,6,3,23500,136.86349130752137,18731.615252883978,
0.1809638922000553,0.03274793028019323,0.15619669203285655,0.02439740660200703,6,3,24000,136.86953704117923,18733.270169866733,
0.1809634912847848,0.032747785177978384,0.15619414077431737,0.02439660961222727,6,3,24500,136.87514880945906,18734.80636161156,
0.18096317984182594,0.03274767245846504,0.15619174217899223,0.02439586032490878,6,3,25000,136.88037189004424,18736.236208756818,
0.18096294234783727,0.03274758650318668,0.1561894795366109,0.02439515351791739,6,3,25500,136.88524549299336,18737.570433677058,
0.18096276562805721,0.03274752254375517,0.15618733891075326,0.024394484836022495,6,3,26000,136.88980362070026,18738.818335313885,
0.18096263854201894,0.0327474765480894,0.15618530863599464,0.0243938506337209,6,3,26500,136.89407581309678,18739.98799272189,
0.18096255170305825,0.03274744511888203,0.1561833789062526,0.02439324784657407,6,3,27000,136.89808779125542,18741.08644090228,
0.1809624972300623,0.03274742540374031,0.15618154143766466,0.024392673885844967,6,3,27500,136.90186201141543,18742.119822192635,
0.18096246852934392,0.03274741501623379,0.15617978919249226,0.02439212655221132,6,3,28000,136.90541814041006,18743.09351620052,
0.18096246010421174,0.032747411966968426,0.1561781161530705,0.02439160396512198,6,3,28500,136.9087734624581,18744.01225099467,
0.18096246738965183,0.0327474146037508,0.15617651713683134,0.024391104504990976,6,3,29000,136.9119432262948,18744.88019800017,
0.1809624866095285,0.032747421559903775,0.15617498764505355,0.024390626765932632,6,3,29500,136.91494094069478,18745.701052793942,
0.18096251465378044,0.032747431709819703,0.15617352373930787,0.024390169517152158,6,3,30000,136.91777862553437,18746.478103750836,
