Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs
0.311549829,0.097063296,0.291118226,0.084749822,6,3,109
0.311863094,0.09725859,0.291454419,0.084945678,6,3,110
0.312175691,0.097453662,0.291789332,0.085141014,6,3,111
0.3124876,0.0976485,0.292122961,0.085335824,6,3,112
0.312798802,0.09784309,0.292455302,0.085530103,6,3,113
0.313109279,0.098037421,0.292786349,0.085723846,6,3,114
0.313419013,0.098231478,0.2931161,0.085917048,6,3,115
0.313727988,0.09842525,0.293444551,0.086109705,6,3,116
0.314036185,0.098618725,0.293771698,0.08630181,6,3,117
0.314343588,0.098811891,0.294097537,0.086493361,6,3,118
0.314650181,0.099004737,0.294422067,0.086684353,6,3,119
0.314955948,0.099197249,0.294745284,0.086874782,6,3,120
0.315260874,0.099389419,0.295067186,0.087064644,6,3,121
0.315564942,0.099581233,0.29538777,0.087253935,6,3,122
0.31586814,0.099772682,0.295707035,0.087442651,6,3,123
0.316170451,0.099963754,0.296024979,0.087630788,6,3,124
0.316471863,0.10015444,0.296341599,0.087818343,6,3,125
0.316772361,0.100344729,0.296656895,0.088005313,6,3,126
0.317071932,0.10053461,0.296970864,0.088191694,6,3,127
0.317370564,0.100724075,0.297283506,0.088377483,6,3,128
0.317668244,0.100913113,0.29759482,0.088562677,6,3,129
0.31796496,0.101101716,0.297904804,0.088747272,6,3,130
0.318260699,0.101289873,0.298213457,0.088931266,6,3,131
0.318555452,0.101477576,0.29852078,0.089114656,6,3,132
0.318849206,0.101664816,0.29882677,0.089297439,6,3,133
0.319141952,0.101851585,0.299131429,0.089479612,6,3,134
0.319433678,0.102037875,0.299434754,0.089661172,6,3,135
0.319724375,0.102223676,0.299736746,0.089842117,6,3,136
0.320014033,0.102408981,0.300037405,0.090022444,6,3,137
0.320302643,0.102593783,0.30033673,0.090202151,6,3,138
0.320590196,0.102778074,0.300634721,0.090381235,6,3,139
0.320876684,0.102961846,0.300931378,0.090559695,6,3,140
0.321162098,0.103145093,0.301226702,0.090737526,6,3,141
0.32144643,0.103327807,0.301520693,0.090914728,6,3,142
0.321729673,0.103509982,0.301813349,0.091091298,6,3,143
0.322011819,0.103691611,0.302104673,0.091267234,6,3,144
0.322292861,0.103872688,0.302394664,0.091442533,6,3,145
0.322572794,0.104053207,0.302683323,0.091617194,6,3,146
0.322851609,0.104233162,0.30297065,0.091791215,6,3,147
0.323129303,0.104412546,0.303256646,0.091964593,6,3,148
0.323405867,0.104591355,0.303541311,0.092137327,6,3,149
0.323681298,0.104769583,0.303824645,0.092309415,6,3,150
0.32395559,0.104947224,0.304106651,0.092480855,6,3,151
0.324228738,0.105124275,0.304387328,0.092651645,6,3,152
0.324500737,0.105300729,0.304666677,0.092821784,6,3,153
0.324771584,0.105476582,0.304944699,0.09299127,6,3,154
0.325041273,0.105651829,0.305221396,0.093160101,6,3,155
0.325309802,0.105826467,0.305496768,0.093328275,6,3,156
0.325577166,0.106000491,0.305770815,0.093495792,6,3,157
0.325843363,0.106173897,0.306043541,0.093662649,6,3,158
0.326108388,0.106346681,0.306314944,0.093828845,6,3,159
0.326372241,0.106518839,0.306585027,0.093994379,6,3,160
0.326634917,0.106690369,0.306853792,0.09415925,6,3,161
0.326896414,0.106861266,0.307121239,0.094323455,6,3,162
0.327156731,0.107031527,0.307387369,0.094486995,6,3,163
0.327415865,0.107201149,0.307652185,0.094649867,6,3,164
0.327673815,0.107370129,0.307915688,0.094812071,6,3,165
0.327930579,0.107538465,0.308177878,0.094973605,6,3,166
0.328186157,0.107706153,0.308438759,0.095134468,6,3,167
0.328440546,0.107873192,0.308698332,0.09529466,6,3,168
0.328693746,0.108039579,0.308956598,0.09545418,6,3,169
0.328945757,0.108205311,0.30921356,0.095613026,6,3,170
0.329196577,0.108370387,0.309469218,0.095771197,6,3,171
0.329446208,0.108534804,0.309723576,0.095928694,6,3,172
0.329694647,0.108698561,0.309976635,0.096085514,6,3,173
0.329941897,0.108861655,0.310228397,0.096241658,6,3,174
0.330187956,0.109024086,0.310478864,0.096397125,6,3,175
0.330432825,0.109185852,0.310728039,0.096551914,6,3,176
0.330676506,0.109346951,0.310975924,0.096706025,6,3,177
0.330918997,0.109507383,0.311222521,0.096859457,6,3,178
0.331160302,0.109667145,0.311467832,0.09701221,6,3,179
0.331400419,0.109826238,0.31171186,0.097164284,6,3,180
0.331639351,0.109984659,0.311954608,0.097315677,6,3,181
0.3318771,0.110142409,0.312196077,0.097466391,6,3,182
0.332113665,0.110299487,0.312436271,0.097616423,6,3,183
0.33234905,0.110455891,0.312675192,0.097765776,6,3,184
0.332583256,0.110611622,0.312912843,0.097914448,6,3,185
0.332816284,0.110766679,0.313149228,0.098062439,6,3,186
0.333048137,0.110921061,0.313384347,0.098209749,6,3,187
0.333278817,0.11107477,0.313618206,0.098356379,6,3,188
0.333508325,0.111227803,0.313850806,0.098502328,6,3,189
0.333736665,0.111380162,0.31408215,0.098647597,6,3,190
0.333963839,0.111531846,0.314312243,0.098792186,6,3,191
0.334189849,0.111682855,0.314541086,0.098936095,6,3,192
0.334414699,0.111833191,0.314768683,0.099079324,6,3,193
0.33463839,0.111982852,0.314995039,0.099221874,6,3,194
0.334860925,0.112131839,0.315220154,0.099363746,6,3,195
0.335082309,0.112280154,0.315444035,0.099504939,6,3,196
0.335302543,0.112427795,0.315666683,0.099645455,6,3,197
0.335521631,0.112574765,0.315888102,0.099785293,6,3,198
0.335739576,0.112721063,0.316108296,0.099924455,6,3,199
0.335956382,0.112866691,0.316327269,0.100062941,6,3,200
0.336172051,0.113011648,0.316545024,0.100200752,6,3,201
0.336386588,0.113155937,0.316761565,0.100337889,6,3,202
0.336599996,0.113299557,0.316976895,0.100474352,6,3,203
0.336812278,0.113442511,0.31719102,0.100610143,6,3,204
0.337023438,0.113584798,0.317403942,0.100745262,6,3,205
0.337233481,0.11372642,0.317615665,0.100879711,6,3,206
0.337442409,0.113867379,0.317826195,0.10101349,6,3,207
0.337650226,0.114007675,0.318035534,0.101146601,6,3,208
0.337856938,0.11414731,0.318243686,0.101279044,6,3,209
0.338062547,0.114286286,0.318450657,0.101410821,6,3,210
0.338267058,0.114424602,0.31865645,0.101541933,6,3,211
0.338470474,0.114562262,0.31886107,0.101672382,6,3,212
0.338672801,0.114699266,0.31906452,0.101802168,6,3,213
0.338874042,0.114835616,0.319266806,0.101931294,6,3,214
0.339074201,0.114971314,0.319467931,0.102059759,6,3,215
0.339273283,0.115106361,0.319667901,0.102187567,6,3,216
0.339471293,0.115240759,0.319866719,0.102314718,6,3,217
0.339668234,0.115374509,0.32006439,0.102441214,6,3,218
0.339864111,0.115507614,0.320260919,0.102567056,6,3,219
0.340058928,0.115640075,0.32045631,0.102692247,6,3,220
0.340252691,0.115771894,0.320650568,0.102816787,6,3,221
0.340445403,0.115903072,0.320843698,0.102940679,6,3,222
0.340637069,0.116033613,0.321035705,0.103063924,6,3,223
0.340827694,0.116163517,0.321226592,0.103186524,6,3,224
0.341017283,0.116292787,0.321416366,0.10330848,6,3,225
0.341205839,0.116421425,0.321605031,0.103429796,6,3,226
0.341393369,0.116549432,0.321792591,0.103550472,6,3,227
0.341579875,0.116676811,0.321979052,0.10367051,6,3,228
0.341765364,0.116803564,0.322164419,0.103789913,6,3,229
0.341949841,0.116929693,0.322348696,0.103908682,6,3,230
0.342133309,0.117055201,0.322531888,0.104026819,6,3,231
0.342315773,0.117180088,0.322714002,0.104144327,6,3,232
0.342497239,0.117304359,0.32289504,0.104261207,6,3,233
0.342677711,0.117428014,0.32307501,0.104377462,6,3,234
0.342857194,0.117551056,0.323253915,0.104493094,6,3,235
0.343035694,0.117673487,0.323431762,0.104608104,6,3,236
0.343213214,0.11779531,0.323608554,0.104722496,6,3,237
0.34338976,0.117916527,0.323784297,0.104836271,6,3,238
0.343565337,0.11803714,0.323958997,0.104949432,6,3,239
0.343739949,0.118157152,0.324132659,0.10506198,6,3,240
0.343913601,0.118276565,0.324305287,0.105173919,6,3,241
0.3440863,0.118395382,0.324476887,0.10528525,6,3,242
0.344258048,0.118513604,0.324647465,0.105395976,6,3,243
0.344428852,0.118631234,0.324817025,0.1055061,6,3,244
0.344598716,0.118748275,0.324985573,0.105615623,6,3,245
0.344767645,0.118864729,0.325153114,0.105724548,6,3,246
0.344935644,0.118980599,0.325319654,0.105832877,6,3,247
0.345102719,0.119095886,0.325485197,0.105940613,6,3,248
0.345268873,0.119210595,0.325649749,0.106047759,6,3,249
0.345434113,0.119324726,0.325813316,0.106154317,6,3,250
0.345598442,0.119438283,0.325975902,0.106260289,6,3,251
0.345761866,0.119551268,0.326137514,0.106365678,6,3,252
0.34592439,0.119663684,0.326298156,0.106470486,6,3,253
0.346086019,0.119775533,0.326457833,0.106574717,6,3,254
0.346246757,0.119886817,0.326616552,0.106678372,6,3,255
0.34640661,0.11999754,0.326774317,0.106781454,6,3,256
0.346565583,0.120107703,0.326931134,0.106883967,6,3,257
0.34672368,0.12021731,0.327087009,0.106985911,6,3,258
0.346880907,0.120326363,0.327241946,0.107087291,6,3,259
0.347037267,0.120434865,0.327395951,0.107188109,6,3,260
0.347192767,0.120542818,0.327549029,0.107288366,6,3,261
0.347347411,0.120650224,0.327701186,0.107388067,6,3,262
0.347501204,0.120757087,0.327852427,0.107487214,6,3,263
0.347654151,0.120863408,0.328002757,0.107585809,6,3,264
0.347806256,0.120969192,0.328152183,0.107683855,6,3,265
0.347957525,0.121074439,0.328300708,0.107781355,6,3,266
0.348107962,0.121179153,0.328448339,0.107878311,6,3,267
0.348257572,0.121283336,0.328595081,0.107974727,6,3,268
0.34840636,0.121386992,0.328740938,0.108070605,6,3,269
0.348554331,0.121490122,0.328885918,0.108165947,6,3,270
0.348701489,0.121592729,0.329030024,0.108260756,6,3,271
0.34884784,0.121694816,0.329173262,0.108355036,6,3,272
0.348993388,0.121796385,0.329315637,0.108448789,6,3,273
0.349138138,0.121897439,0.329457156,0.108542017,6,3,274
0.349282094,0.121997981,0.329597822,0.108634724,6,3,275
0.349425261,0.122098013,0.329737641,0.108726912,6,3,276
0.349567644,0.122197538,0.329876619,0.108818584,6,3,277
0.349709248,0.122296558,0.330014761,0.108909742,6,3,278
0.349850077,0.122395076,0.330152071,0.10900039,6,3,279
0.349990136,0.122493095,0.330288556,0.10909053,6,3,280
0.350129429,0.122590617,0.33042422,0.109180165,6,3,281
0.350267962,0.122687645,0.330559069,0.109269298,6,3,282
0.350405738,0.122784182,0.330693107,0.109357931,6,3,283
0.350542763,0.122880229,0.330826341,0.109446068,6,3,284
0.35067904,0.122975789,0.330958774,0.10953371,6,3,285
0.350814575,0.123070866,0.331090413,0.109620861,6,3,286
0.350949372,0.123165462,0.331221262,0.109707524,6,3,287
0.351083435,0.123259578,0.331351326,0.109793701,6,3,288
0.351216769,0.123353219,0.33148061,0.109879395,6,3,289
0.351349378,0.123446386,0.331609121,0.109964609,6,3,290
0.351481268,0.123539081,0.331736861,0.110049345,6,3,291
0.351612441,0.123631309,0.331863837,0.110133607,6,3,292
0.351742903,0.12372307,0.331990054,0.110217396,6,3,293
0.351872658,0.123814367,0.332115517,0.110300716,6,3,294
0.35200171,0.123905204,0.332240229,0.11038357,6,3,295
0.352130064,0.123995582,0.332364198,0.11046596,6,3,296
0.352257724,0.124085504,0.332487426,0.110547889,6,3,297
0.352384694,0.124174973,0.33260992,0.110629359,6,3,298
0.352510979,0.12426399,0.332731684,0.110710374,6,3,299
0.352636582,0.124352559,0.332852723,0.110790935,6,3,300
0.352761509,0.124440682,0.332973042,0.110871046,6,3,301
0.352885763,0.124528362,0.333092645,0.11095071,6,3,302
0.353009348,0.1246156,0.333211538,0.111029929,6,3,303
0.35313227,0.1247024,0.333329725,0.111108706,6,3,304
0.35325453,0.124788763,0.333447211,0.111187042,6,3,305
0.353376135,0.124874693,0.333564001,0.111264942,6,3,306
0.353497088,0.124960191,0.333680099,0.111342408,6,3,307
0.353617393,0.125045261,0.33379551,0.111419442,6,3,308
0.353737054,0.125129904,0.333910238,0.111496047,6,3,309
0.353856076,0.125214122,0.334024289,0.111572226,6,3,310
0.353974461,0.125297919,0.334137667,0.111647981,6,3,311
0.354092215,0.125381297,0.334250377,0.111723314,6,3,312
0.354209341,0.125464258,0.334362423,0.11179823,6,3,313
0.354325844,0.125546804,0.334473809,0.111872729,6,3,314
0.354441726,0.125628937,0.33458454,0.111946814,6,3,315
0.354556993,0.125710661,0.334694621,0.112020489,6,3,316
0.354671647,0.125791977,0.334804056,0.112093756,6,3,317
0.354785693,0.125872888,0.33491285,0.112166617,6,3,318
0.354899135,0.125953396,0.335021006,0.112239075,6,3,319
0.355011976,0.126033503,0.33512853,0.112311132,6,3,320
0.355124221,0.126113212,0.335235425,0.11238279,6,3,321
0.355235872,0.126192525,0.335341697,0.112454054,6,3,322
0.355346935,0.126271444,0.335447349,0.112524924,6,3,323
0.355457412,0.126349971,0.335552385,0.112595403,6,3,324
0.355567307,0.12642811,0.33565681,0.112665494,6,3,325
0.355676624,0.126505861,0.335760629,0.1127352,6,3,326
0.355785366,0.126583227,0.335863845,0.112804522,6,3,327
0.355893538,0.12666021,0.335966462,0.112873463,6,3,328
0.356001143,0.126736814,0.336068485,0.112942026,6,3,329
0.356108184,0.126813039,0.336169917,0.113010213,6,3,330
0.356214665,0.126888888,0.336270764,0.113078027,6,3,331
0.35632059,0.126964363,0.336371029,0.113145469,6,3,332
0.356425962,0.127039466,0.336470716,0.113212542,6,3,333
0.356530784,0.1271142,0.336569828,0.113279249,6,3,334
0.356635061,0.127188567,0.336668371,0.113345592,6,3,335
0.356738795,0.127262568,0.336766348,0.113411573,6,3,336
0.356841991,0.127336206,0.336863764,0.113477195,6,3,337
0.356944651,0.127409484,0.336960621,0.11354246,6,3,338
0.357046779,0.127482402,0.337056924,0.11360737,6,3,339
0.357148378,0.127554964,0.337152677,0.113671927,6,3,340
0.357249451,0.127627171,0.337247883,0.113736135,6,3,341
0.357350003,0.127699025,0.337342547,0.113799994,6,3,342
0.357450036,0.127770528,0.337436672,0.113863508,6,3,343
0.357549554,0.127841684,0.337530262,0.113926678,6,3,344
0.35764856,0.127912492,0.337623321,0.113989507,6,3,345
0.357747056,0.127982956,0.337715853,0.114051997,6,3,346
0.357845048,0.128053078,0.337807861,0.114114151,6,3,347
0.357942536,0.128122859,0.337899349,0.11417597,6,3,348
0.358039526,0.128192302,0.33799032,0.114237457,6,3,349
0.35813602,0.128261409,0.338080779,0.114298613,6,3,350
0.35823202,0.12833018,0.338170728,0.114359441,6,3,351
0.358327531,0.12839862,0.338260172,0.114419944,6,3,352
0.358422556,0.128466728,0.338349114,0.114480123,6,3,353
0.358517096,0.128534508,0.338437557,0.11453998,6,3,354
0.358611157,0.128601962,0.338525506,0.114599518,6,3,355
0.35870474,0.12866909,0.338612963,0.114658738,6,3,356
0.358797849,0.128735896,0.338699931,0.114717644,6,3,357
0.358890486,0.128802381,0.338786416,0.114776235,6,3,358
0.358982655,0.128868546,0.338872419,0.114834516,6,3,359
0.359074358,0.128934395,0.338957944,0.114892488,6,3,360
0.359165599,0.128999928,0.339042995,0.114950152,6,3,361
0.359256381,0.129065147,0.339127574,0.115007512,6,3,362
0.359346706,0.129130055,0.339211686,0.115064568,6,3,363
0.359436577,0.129194653,0.339295334,0.115121323,6,3,364
0.359525998,0.129258943,0.33937852,0.11517778,6,3,365
0.35961497,0.129322927,0.339461248,0.115233939,6,3,366
0.359703498,0.129386606,0.339543522,0.115289803,6,3,367
0.359791583,0.129449983,0.339625343,0.115345374,6,3,368
0.359879228,0.129513059,0.339706717,0.115400654,6,3,369
0.359966437,0.129575836,0.339787645,0.115455644,6,3,370
0.360053212,0.129638315,0.339868131,0.115510347,6,3,371
0.360139556,0.129700499,0.339948179,0.115564764,6,3,372
0.360225471,0.12976239,0.34002779,0.115618898,6,3,373
0.36031096,0.129823988,0.340106968,0.11567275,6,3,374
0.360396026,0.129885296,0.340185717,0.115726322,6,3,375
0.360480672,0.129946315,0.340264039,0.115779616,6,3,376
0.3605649,0.130007047,0.340341937,0.115832634,6,3,377
0.360648712,0.130067494,0.340419414,0.115885377,6,3,378
0.360732112,0.130127657,0.340496473,0.115937848,6,3,379
0.360815103,0.130187538,0.340573117,0.115990048,6,3,380
0.360897685,0.130247139,0.34064935,0.116041979,6,3,381
0.360979863,0.130306462,0.340725173,0.116093643,6,3,382
0.361061639,0.130365507,0.34080059,0.116145042,6,3,383
0.361143015,0.130424277,0.340875603,0.116196177,6,3,384
0.361223993,0.130482773,0.340950216,0.11624705,6,3,385
0.361304577,0.130540997,0.341024431,0.116297662,6,3,386
0.361384769,0.130598951,0.341098251,0.116348017,6,3,387
0.36146457,0.130656635,0.341171678,0.116398114,6,3,388
0.361543984,0.130714053,0.341244716,0.116447956,6,3,389
0.361623014,0.130771204,0.341317367,0.116497545,6,3,390
0.36170166,0.130828091,0.341389634,0.116546882,6,3,391
0.361779927,0.130884715,0.34146152,0.11659597,6,3,392
0.361857816,0.130941079,0.341533027,0.116644808,6,3,393
0.361935329,0.130997182,0.341604157,0.1166934,6,3,394
0.362012469,0.131053028,0.341674914,0.116741747,6,3,395
0.362089238,0.131108616,0.3417453,0.11678985,6,3,396
0.362165639,0.13116395,0.341815318,0.116837712,6,3,397
0.362241673,0.13121903,0.34188497,0.116885333,6,3,398
0.362317344,0.131273858,0.341954258,0.116932715,6,3,399
0.362392653,0.131328435,0.342023186,0.11697986,6,3,400
0.362467602,0.131382763,0.342091755,0.117026769,6,3,401
0.362542195,0.131436843,0.342159969,0.117073444,6,3,402
0.362616432,0.131490677,0.342227829,0.117119887,6,3,403
0.362690317,0.131544266,0.342295339,0.117166099,6,3,404
0.36276385,0.131597611,0.3423625,0.117212081,6,3,405
0.362837036,0.131650715,0.342429314,0.117257835,6,3,406
0.362909875,0.131703577,0.342495786,0.117303363,6,3,407
0.36298237,0.131756201,0.342561915,0.117348666,6,3,408
0.363054523,0.131808587,0.342627706,0.117393745,6,3,409
0.363126336,0.131860736,0.34269316,0.117438602,6,3,410
0.363197811,0.13191265,0.34275828,0.117483239,6,3,411
0.36326895,0.13196433,0.342823068,0.117527656,6,3,412
0.363339756,0.132015778,0.342887526,0.117571856,6,3,413
0.36341023,0.132066995,0.342951657,0.117615839,6,3,414
0.363480374,0.132117982,0.343015462,0.117659607,6,3,415
0.363550191,0.132168741,0.343078944,0.117703162,6,3,416
0.363619682,0.132219273,0.343142106,0.117746505,6,3,417
0.363688849,0.132269579,0.343204948,0.117789637,6,3,418
0.363757695,0.132319661,0.343267475,0.117832559,6,3,419
0.363826221,0.132369519,0.343329687,0.117875274,6,3,420
0.36389443,0.132419156,0.343391587,0.117917782,6,3,421
0.363962322,0.132468572,0.343453176,0.117960084,6,3,422
0.364029901,0.132517769,0.343514458,0.118002183,6,3,423
0.364097168,0.132566748,0.343575434,0.118044079,6,3,424
0.364164125,0.13261551,0.343636107,0.118085774,6,3,425
0.364230773,0.132664056,0.343696477,0.118127269,6,3,426
0.364297115,0.132712388,0.343756548,0.118168564,6,3,427
0.364363153,0.132760507,0.343816322,0.118209663,6,3,428
0.364428888,0.132808415,0.343875799,0.118250565,6,3,429
0.364494323,0.132856111,0.343934983,0.118291273,6,3,430
0.364559458,0.132903598,0.343993876,0.118331786,6,3,431
0.364624296,0.132950877,0.344052478,0.118372108,6,3,432
0.364688839,0.132997949,0.344110793,0.118412238,6,3,433
0.364753088,0.133044815,0.344168823,0.118452178,6,3,434
0.364817046,0.133091477,0.344226568,0.11849193,6,3,435
0.364880713,0.133137935,0.344284031,0.118531494,6,3,436
0.364944092,0.13318419,0.344341214,0.118570872,6,3,437
0.365007184,0.133230244,0.34439812,0.118610065,6,3,438
0.365069992,0.133276099,0.344454748,0.118649074,6,3,439
0.365132516,0.133321754,0.344511102,0.1186879,6,3,440
0.365194759,0.133367212,0.344567184,0.118726544,6,3,441
0.365256722,0.133412473,0.344622995,0.118765008,6,3,442
0.365318406,0.133457538,0.344678536,0.118803293,6,3,443
0.365379815,0.133502409,0.344733811,0.1188414,6,3,444
0.365440948,0.133547087,0.34478882,0.11887933,6,3,445
0.365501808,0.133591572,0.344843565,0.118917084,6,3,446
0.365562397,0.133635866,0.344898048,0.118954664,6,3,447
0.365622716,0.13367997,0.344952271,0.118992069,6,3,448
0.365682766,0.133723886,0.345006236,0.119029303,6,3,449
0.36574255,0.133767613,0.345059943,0.119066364,6,3,450
0.365802068,0.133811153,0.345113396,0.119103256,6,3,451
0.365861323,0.133854508,0.345166595,0.119139978,6,3,452
0.365920316,0.133897678,0.345219543,0.119176533,6,3,453
0.365979048,0.133940664,0.34527224,0.11921292,6,3,454
0.366037521,0.133983467,0.345324689,0.119249141,6,3,455
0.366095737,0.134026089,0.345376891,0.119285197,6,3,456
0.366153697,0.13406853,0.345428848,0.119321089,6,3,457
0.366211402,0.134110791,0.345480561,0.119356818,6,3,458
0.366268855,0.134152874,0.345532032,0.119392385,6,3,459
0.366326056,0.134194779,0.345583263,0.119427792,6,3,460
0.366383007,0.134236508,0.345634255,0.119463038,6,3,461
0.366439709,0.13427806,0.34568501,0.119498126,6,3,462
0.366496165,0.134319439,0.345735528,0.119533056,6,3,463
